Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
16,0.4828744123572868,1489,4.265278710543989,0.10409670920080591,0.10745466756212223,0.05305574210879785,0.051712558764271326,0.11215580926796508,0.2907991940899933,0.004029550033579583,0.028206850235057087,0.06850235057085292,0.17931497649429148,
16,0.5736842105263158,570,4.531578947368421,0.09298245614035087,0.10877192982456141,0.05789473684210526,0.05087719298245614,0.1280701754385965,0.2719298245614035,0.0035087719298245615,0.01929824561403509,0.07017543859649122,0.19473684210526315,
16,0.7398843930635838,173,4.317919075144508,0.10982658959537572,0.08670520231213873,0.06358381502890173,0.046242774566473986,0.15606936416184972,0.27167630057803466,0.0,0.03468208092485549,0.07514450867052024,0.15606936416184972,
16,0.7984496124031008,129,3.953488372093023,0.08527131782945736,0.13953488372093023,0.06976744186046512,0.05426356589147287,0.06976744186046512,0.21705426356589147,0.007751937984496124,0.023255813953488372,0.09302325581395349,0.24031007751937986,
16,0.6055900621118012,644,4.464285714285714,0.10093167701863354,0.08385093167701864,0.05745341614906832,0.06832298136645963,0.10869565217391304,0.2826086956521739,0.003105590062111801,0.029503105590062112,0.07608695652173914,0.18944099378881987,
16,0.8021978021978022,91,4.131868131868132,0.08791208791208792,0.0989010989010989,0.04395604395604396,0.02197802197802198,0.1978021978021978,0.26373626373626374,0.01098901098901099,0.02197802197802198,0.03296703296703297,0.21978021978021978,
16,0.6420824295010846,461,4.481561822125814,0.09761388286334056,0.1019522776572668,0.06941431670281996,0.0650759219088937,0.09978308026030369,0.29718004338394793,0.0,0.015184381778741865,0.09327548806941431,0.16052060737527116,
16,0.6498422712933754,317,4.173501577287066,0.07255520504731862,0.0914826498422713,0.10094637223974763,0.05362776025236593,0.10410094637223975,0.21766561514195584,0.0,0.025236593059936908,0.13564668769716087,0.19873817034700317,
16,0.8648648648648649,74,4.486486486486487,0.06756756756756757,0.08108108108108109,0.02702702702702703,0.06756756756756757,0.16216216216216217,0.2972972972972973,0.0,0.04054054054054054,0.05405405405405406,0.20270270270270271,
16,0.5708333333333333,480,4.3125,0.12083333333333333,0.0875,0.07291666666666667,0.035416666666666666,0.10416666666666667,0.3020833333333333,0.004166666666666667,0.022916666666666665,0.058333333333333334,0.18958333333333333,
16,0.7936507936507936,63,4.142857142857143,0.1111111111111111,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.14285714285714285,0.30158730158730157,0.0,0.047619047619047616,0.06349206349206349,0.14285714285714285,
16,0.5883256528417818,651,4.497695852534562,0.07680491551459294,0.1152073732718894,0.06758832565284179,0.06451612903225806,0.08448540706605223,0.2626728110599078,0.0015360983102918587,0.010752688172043012,0.09216589861751152,0.2227342549923195,
16,0.43944444444444447,1800,4.296666666666667,0.09888888888888889,0.105,0.06555555555555556,0.049444444444444444,0.11555555555555555,0.2861111111111111,0.0005555555555555556,0.022222222222222223,0.07388888888888889,0.18166666666666667,
16,0.6370967741935484,124,3.903225806451613,0.10483870967741936,0.08064516129032258,0.08064516129032258,0.024193548387096774,0.13709677419354838,0.24193548387096775,0.0,0.04838709677419355,0.04032258064516129,0.24193548387096775,
16,0.6929133858267716,254,4.468503937007874,0.14173228346456693,0.09055118110236221,0.09448818897637795,0.03543307086614173,0.1220472440944882,0.2204724409448819,0.0,0.03937007874015748,0.05905511811023622,0.1968503937007874,
16,0.7,130,4.1461538461538465,0.038461538461538464,0.1076923076923077,0.06153846153846154,0.07692307692307693,0.14615384615384616,0.2692307692307692,0.007692307692307693,0.038461538461538464,0.1,0.15384615384615385,
16,0.7530864197530864,81,4.049382716049383,0.12345679012345678,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.06172839506172839,0.30864197530864196,0.0,0.04938271604938271,0.0,0.19753086419753085,
16,0.6388888888888888,324,4.234567901234568,0.08333333333333333,0.09567901234567901,0.040123456790123455,0.04938271604938271,0.12654320987654322,0.29012345679012347,0.0,0.05246913580246913,0.06481481481481481,0.19753086419753085,
17,0.6717171717171717,198,4.232323232323233,0.10101010101010101,0.08080808080808081,0.045454545454545456,0.030303030303030304,0.12626262626262627,0.35858585858585856,0.0,0.020202020202020204,0.0707070707070707,0.16666666666666666,
17,0.4822501365374113,1831,4.6919716002184595,0.1174221736755871,0.08301474604041507,0.02403058438012015,0.025122883670125613,0.09503003823047515,0.4456581103222283,0.0010922992900054614,0.018022938285090113,0.018569087930092845,0.170398689240852,
17,0.8142857142857143,140,4.492857142857143,0.12857142857142856,0.1,0.09285714285714286,0.02857142857142857,0.08571428571428572,0.3,0.02142857142857143,0.02857142857142857,0.03571428571428571,0.17857142857142858,
17,0.4479166666666667,288,4.065972222222222,0.09722222222222222,0.11458333333333333,0.020833333333333332,0.013888888888888888,0.13541666666666666,0.2673611111111111,0.003472222222222222,0.03819444444444445,0.12152777777777778,0.1875,
17,0.5947955390334573,269,4.159851301115242,0.06691449814126393,0.08178438661710037,0.08921933085501858,0.048327137546468404,0.10780669144981413,0.241635687732342,0.0037174721189591076,0.040892193308550186,0.09665427509293681,0.22304832713754646,
17,0.6829268292682927,82,3.8780487804878048,0.07317073170731707,0.0975609756097561,0.07317073170731707,0.012195121951219513,0.0975609756097561,0.3170731707317073,0.0,0.04878048780487805,0.0975609756097561,0.18292682926829268,
17,0.5218508997429306,778,4.543701799485861,0.09511568123393316,0.13496143958868895,0.043701799485861184,0.037275064267352186,0.16580976863753213,0.31876606683804626,0.0012853470437017994,0.02056555269922879,0.038560411311053984,0.14395886889460155,
